chr	start	stop	arm	chr_arm	band
1	8400001	8450000	p	1p	p36.23
1	8450001	8500000	p	1p	p36.23
1	8500001	8550000	p	1p	p36.23
1	8550001	8600000	p	1p	p36.23
1	8600001	8650000	p	1p	p36.23
1	8650001	8700000	p	1p	p36.23
1	8700001	8750000	p	1p	p36.23
1	8750001	8800000	p	1p	p36.23
1	8800001	8850000	p	1p	p36.23
1	8850001	8900000	p	1p	p36.23
1	8900001	8950000	p	1p	p36.23
1	8950001	9000000	p	1p	p36.23
1	9000001	9050000	p	1p	p36.23
1	9050001	9100000	p	1p	p36.23
1	9100001	9150000	p	1p	p36.22
1	9150001	9200000	p	1p	p36.22
1	9200001	9250000	p	1p	p36.22
1	9250001	9300000	p	1p	p36.22
1	9300001	9350000	p	1p	p36.22
1	9350001	9400000	p	1p	p36.22
1	9400001	9450000	p	1p	p36.22
1	9450001	9500000	p	1p	p36.22
1	9500001	9550000	p	1p	p36.22
1	9550001	9600000	p	1p	p36.22
1	9600001	9650000	p	1p	p36.22
1	9650001	9700000	p	1p	p36.22
1	9700001	9750000	p	1p	p36.22
1	9750001	9800000	p	1p	p36.22
1	9800001	9850000	p	1p	p36.22
1	9850001	9900000	p	1p	p36.22
1	9900001	9950000	p	1p	p36.22
1	9950001	10000000	p	1p	p36.22
1	10000001	10050000	p	1p	p36.22
1	10050001	10100000	p	1p	p36.22
1	10100001	10150000	p	1p	p36.22
1	10150001	10200000	p	1p	p36.22
1	10200001	10250000	p	1p	p36.22
1	10250001	10300000	p	1p	p36.22
1	10300001	10350000	p	1p	p36.22
1	10350001	10400000	p	1p	p36.22
1	10400001	10450000	p	1p	p36.22
1	10450001	10500000	p	1p	p36.22
1	10500001	10550000	p	1p	p36.22
1	10550001	10600000	p	1p	p36.22
1	10600001	10650000	p	1p	p36.22
1	10650001	10700000	p	1p	p36.22
1	10700001	10750000	p	1p	p36.22
1	10750001	10800000	p	1p	p36.22
1	10800001	10850000	p	1p	p36.22
1	10850001	10900000	p	1p	p36.22
1	10900001	10950000	p	1p	p36.22
1	10950001	11000000	p	1p	p36.22
1	11000001	11050000	p	1p	p36.22
1	11050001	11100000	p	1p	p36.22
1	11100001	11150000	p	1p	p36.22
1	11150001	11200000	p	1p	p36.22
1	11200001	11250000	p	1p	p36.22
1	11250001	11300000	p	1p	p36.22
1	11300001	11350000	p	1p	p36.22
1	11350001	11400000	p	1p	p36.22
1	11400001	11450000	p	1p	p36.22
1	11450001	11500000	p	1p	p36.22
1	11500001	11550000	p	1p	p36.22
1	11550001	11600000	p	1p	p36.22
1	11600001	11650000	p	1p	p36.22
1	11650001	11700000	p	1p	p36.22
1	11700001	11750000	p	1p	p36.22
1	11750001	11800000	p	1p	p36.22
1	11800001	11850000	p	1p	p36.22
1	11850001	11900000	p	1p	p36.22
1	11900001	11950000	p	1p	p36.22
1	11950001	12000000	p	1p	p36.22
1	12000001	12050000	p	1p	p36.22
1	12050001	12100000	p	1p	p36.22
1	12100001	12150000	p	1p	p36.22
1	12150001	12200000	p	1p	p36.22
1	12200001	12250000	p	1p	p36.22
1	12250001	12300000	p	1p	p36.22
1	12300001	12350000	p	1p	p36.22
1	12350001	12400000	p	1p	p36.22
1	12400001	12450000	p	1p	p36.22
1	12450001	12500000	p	1p	p36.22
1	12500001	12550000	p	1p	p36.21
1	12550001	12600000	p	1p	p36.21
1	12600001	12650000	p	1p	p36.21
1	12650001	12700000	p	1p	p36.21
1	12700001	12750000	p	1p	p36.21
1	12750001	12800000	p	1p	p36.21
1	12800001	12850000	p	1p	p36.21
1	12850001	12900000	p	1p	p36.21
1	12900001	12950000	p	1p	p36.21
1	12950001	13000000	p	1p	p36.21
1	13000001	13050000	p	1p	p36.21
1	13050001	13100000	p	1p	p36.21
1	13100001	13150000	p	1p	p36.21
1	13150001	13200000	p	1p	p36.21
1	13200001	13250000	p	1p	p36.21
1	13250001	13300000	p	1p	p36.21
1	13300001	13350000	p	1p	p36.21
1	13350001	13400000	p	1p	p36.21
1	13400001	13450000	p	1p	p36.21
1	13450001	13500000	p	1p	p36.21
1	13500001	13550000	p	1p	p36.21
1	13550001	13600000	p	1p	p36.21
1	13600001	13650000	p	1p	p36.21
1	13650001	13700000	p	1p	p36.21
1	13700001	13750000	p	1p	p36.21
1	13750001	13800000	p	1p	p36.21
1	13800001	13850000	p	1p	p36.21
1	13850001	13900000	p	1p	p36.21
1	13900001	13950000	p	1p	p36.21
1	13950001	14000000	p	1p	p36.21
1	14000001	14050000	p	1p	p36.21
1	14050001	14100000	p	1p	p36.21
1	14100001	14150000	p	1p	p36.21
1	14150001	14200000	p	1p	p36.21
1	14200001	14250000	p	1p	p36.21
1	14250001	14300000	p	1p	p36.21
1	14300001	14350000	p	1p	p36.21
1	14350001	14400000	p	1p	p36.21
1	14400001	14450000	p	1p	p36.21
1	14450001	14500000	p	1p	p36.21
1	14500001	14550000	p	1p	p36.21
1	14550001	14600000	p	1p	p36.21
1	14600001	14650000	p	1p	p36.21
1	14650001	14700000	p	1p	p36.21
1	14700001	14750000	p	1p	p36.21
1	14750001	14800000	p	1p	p36.21
1	14800001	14850000	p	1p	p36.21
1	14850001	14900000	p	1p	p36.21
1	14900001	14950000	p	1p	p36.21
1	14950001	15000000	p	1p	p36.21
1	15000001	15050000	p	1p	p36.21
1	15050001	15100000	p	1p	p36.21
1	15100001	15150000	p	1p	p36.21
1	15150001	15200000	p	1p	p36.21
1	15200001	15250000	p	1p	p36.21
1	15250001	15300000	p	1p	p36.21
1	15300001	15350000	p	1p	p36.21
1	15350001	15400000	p	1p	p36.21
1	15400001	15450000	p	1p	p36.21
1	15450001	15500000	p	1p	p36.21
1	15500001	15550000	p	1p	p36.21
1	15550001	15600000	p	1p	p36.21
1	15600001	15650000	p	1p	p36.21
1	15650001	15700000	p	1p	p36.21
1	15700001	15750000	p	1p	p36.21
1	15750001	15800000	p	1p	p36.21
1	15800001	15850000	p	1p	p36.21
1	15850001	15900000	p	1p	p36.21
1	15900001	15950000	p	1p	p36.13
1	15950001	16000000	p	1p	p36.13
1	16000001	16050000	p	1p	p36.13
1	16050001	16100000	p	1p	p36.13
1	16100001	16150000	p	1p	p36.13
1	16150001	16200000	p	1p	p36.13
1	16200001	16250000	p	1p	p36.13
1	16250001	16300000	p	1p	p36.13
1	16300001	16350000	p	1p	p36.13
1	16350001	16400000	p	1p	p36.13
1	16400001	16450000	p	1p	p36.13
1	16450001	16500000	p	1p	p36.13
1	16500001	16550000	p	1p	p36.13
1	16550001	16600000	p	1p	p36.13
1	16600001	16650000	p	1p	p36.13
1	16650001	16700000	p	1p	p36.13
1	16700001	16750000	p	1p	p36.13
1	16750001	16800000	p	1p	p36.13
1	16800001	16850000	p	1p	p36.13
1	16850001	16900000	p	1p	p36.13
1	16900001	16950000	p	1p	p36.13
1	16950001	17000000	p	1p	p36.13
1	17000001	17050000	p	1p	p36.13
1	17050001	17100000	p	1p	p36.13
1	17100001	17150000	p	1p	p36.13
1	17150001	17200000	p	1p	p36.13
1	17200001	17250000	p	1p	p36.13
1	17250001	17300000	p	1p	p36.13
1	17300001	17350000	p	1p	p36.13
1	17350001	17400000	p	1p	p36.13
1	17400001	17450000	p	1p	p36.13
1	17450001	17500000	p	1p	p36.13
1	17500001	17550000	p	1p	p36.13
1	17550001	17600000	p	1p	p36.13
1	17600001	17650000	p	1p	p36.13
1	17650001	17700000	p	1p	p36.13
1	17700001	17750000	p	1p	p36.13
1	17750001	17800000	p	1p	p36.13
1	17800001	17850000	p	1p	p36.13
1	17850001	17900000	p	1p	p36.13
1	17900001	17950000	p	1p	p36.13
1	17950001	18000000	p	1p	p36.13
1	18000001	18050000	p	1p	p36.13
1	18050001	18100000	p	1p	p36.13
1	18100001	18150000	p	1p	p36.13
1	18150001	18200000	p	1p	p36.13
1	18200001	18250000	p	1p	p36.13
1	18250001	18300000	p	1p	p36.13
1	18300001	18350000	p	1p	p36.13
1	18350001	18400000	p	1p	p36.13
1	18400001	18450000	p	1p	p36.13
1	18450001	18500000	p	1p	p36.13
1	18500001	18550000	p	1p	p36.13
1	18550001	18600000	p	1p	p36.13
1	18600001	18650000	p	1p	p36.13
1	18650001	18700000	p	1p	p36.13
1	18700001	18750000	p	1p	p36.13
1	18750001	18800000	p	1p	p36.13
1	18800001	18850000	p	1p	p36.13
1	18850001	18900000	p	1p	p36.13
1	18900001	18950000	p	1p	p36.13
1	18950001	19000000	p	1p	p36.13
1	19000001	19050000	p	1p	p36.13
1	19050001	19100000	p	1p	p36.13
1	19100001	19150000	p	1p	p36.13
1	19150001	19200000	p	1p	p36.13
1	19200001	19250000	p	1p	p36.13
1	19250001	19300000	p	1p	p36.13
1	19300001	19350000	p	1p	p36.13
1	19350001	19400000	p	1p	p36.13
1	19400001	19450000	p	1p	p36.13
1	19450001	19500000	p	1p	p36.13
1	19500001	19550000	p	1p	p36.13
1	19550001	19600000	p	1p	p36.13
1	19600001	19650000	p	1p	p36.13
1	19650001	19700000	p	1p	p36.13
1	19700001	19750000	p	1p	p36.13
1	19750001	19800000	p	1p	p36.13
1	19800001	19850000	p	1p	p36.13
1	19850001	19900000	p	1p	p36.13
1	19900001	19950000	p	1p	p36.13
1	19950001	20000000	p	1p	p36.13
1	20000001	20050000	p	1p	p36.13
1	20050001	20100000	p	1p	p36.13
1	20100001	20150000	p	1p	p36.12
1	20150001	20200000	p	1p	p36.12
1	20200001	20250000	p	1p	p36.12
1	20250001	20300000	p	1p	p36.12
1	20300001	20350000	p	1p	p36.12
1	20350001	20400000	p	1p	p36.12
1	20400001	20450000	p	1p	p36.12
1	20450001	20500000	p	1p	p36.12
1	20500001	20550000	p	1p	p36.12
1	20550001	20600000	p	1p	p36.12
1	20600001	20650000	p	1p	p36.12
1	20650001	20700000	p	1p	p36.12
1	20700001	20750000	p	1p	p36.12
1	20750001	20800000	p	1p	p36.12
1	20800001	20850000	p	1p	p36.12
1	20850001	20900000	p	1p	p36.12
1	20900001	20950000	p	1p	p36.12
1	20950001	21000000	p	1p	p36.12
1	21000001	21050000	p	1p	p36.12
1	21050001	21100000	p	1p	p36.12
1	21100001	21150000	p	1p	p36.12
1	21150001	21200000	p	1p	p36.12
1	21200001	21250000	p	1p	p36.12
1	21250001	21300000	p	1p	p36.12
1	21300001	21350000	p	1p	p36.12
1	21350001	21400000	p	1p	p36.12
1	21400001	21450000	p	1p	p36.12
1	21450001	21500000	p	1p	p36.12
1	21500001	21550000	p	1p	p36.12
1	21550001	21600000	p	1p	p36.12
1	21600001	21650000	p	1p	p36.12
1	21650001	21700000	p	1p	p36.12
1	21700001	21750000	p	1p	p36.12
1	21750001	21800000	p	1p	p36.12
1	21800001	21850000	p	1p	p36.12
1	21850001	21900000	p	1p	p36.12
1	21900001	21950000	p	1p	p36.12
1	21950001	22000000	p	1p	p36.12
1	22000001	22050000	p	1p	p36.12
1	22050001	22100000	p	1p	p36.12
1	22100001	22150000	p	1p	p36.12
1	22150001	22200000	p	1p	p36.12
1	22200001	22250000	p	1p	p36.12
1	22250001	22300000	p	1p	p36.12
1	22300001	22350000	p	1p	p36.12
1	22350001	22400000	p	1p	p36.12
1	22400001	22450000	p	1p	p36.12
1	22450001	22500000	p	1p	p36.12
1	22500001	22550000	p	1p	p36.12
1	22550001	22600000	p	1p	p36.12
1	22600001	22650000	p	1p	p36.12
1	22650001	22700000	p	1p	p36.12
1	22700001	22750000	p	1p	p36.12
1	22750001	22800000	p	1p	p36.12
1	22800001	22850000	p	1p	p36.12
1	22850001	22900000	p	1p	p36.12
1	22900001	22950000	p	1p	p36.12
1	22950001	23000000	p	1p	p36.12
1	23000001	23050000	p	1p	p36.12
1	23050001	23100000	p	1p	p36.12
1	23100001	23150000	p	1p	p36.12
1	23150001	23200000	p	1p	p36.12
1	23200001	23250000	p	1p	p36.12
1	23250001	23300000	p	1p	p36.12
1	23300001	23350000	p	1p	p36.12
1	23350001	23400000	p	1p	p36.12
1	23400001	23450000	p	1p	p36.12
1	23450001	23500000	p	1p	p36.12
1	23500001	23550000	p	1p	p36.12
1	23550001	23600000	p	1p	p36.12
1	23600001	23650000	p	1p	p36.11
1	23650001	23700000	p	1p	p36.11
1	23700001	23750000	p	1p	p36.11
1	23750001	23800000	p	1p	p36.11
1	23800001	23850000	p	1p	p36.11
1	23850001	23900000	p	1p	p36.11
1	23900001	23950000	p	1p	p36.11
1	23950001	24000000	p	1p	p36.11
1	24000001	24050000	p	1p	p36.11
1	24050001	24100000	p	1p	p36.11
1	24100001	24150000	p	1p	p36.11
1	24150001	24200000	p	1p	p36.11
1	24200001	24250000	p	1p	p36.11
1	24250001	24300000	p	1p	p36.11
1	24300001	24350000	p	1p	p36.11
1	24350001	24400000	p	1p	p36.11
1	24400001	24450000	p	1p	p36.11
1	24450001	24500000	p	1p	p36.11
1	24500001	24550000	p	1p	p36.11
1	24550001	24600000	p	1p	p36.11
1	24600001	24650000	p	1p	p36.11
1	24650001	24700000	p	1p	p36.11
1	24700001	24750000	p	1p	p36.11
1	24750001	24800000	p	1p	p36.11
1	24800001	24850000	p	1p	p36.11
1	24850001	24900000	p	1p	p36.11
1	24900001	24950000	p	1p	p36.11
1	24950001	25000000	p	1p	p36.11
1	25000001	25050000	p	1p	p36.11
1	25050001	25100000	p	1p	p36.11
1	25100001	25150000	p	1p	p36.11
1	25150001	25200000	p	1p	p36.11
1	25200001	25250000	p	1p	p36.11
1	25250001	25300000	p	1p	p36.11
1	25300001	25350000	p	1p	p36.11
1	25350001	25400000	p	1p	p36.11
1	25400001	25450000	p	1p	p36.11
1	25450001	25500000	p	1p	p36.11
1	25500001	25550000	p	1p	p36.11
1	25550001	25600000	p	1p	p36.11
1	25600001	25650000	p	1p	p36.11
1	25650001	25700000	p	1p	p36.11
1	25700001	25750000	p	1p	p36.11
1	25750001	25800000	p	1p	p36.11
1	25800001	25850000	p	1p	p36.11
1	25850001	25900000	p	1p	p36.11
1	25900001	25950000	p	1p	p36.11
1	25950001	26000000	p	1p	p36.11
1	26000001	26050000	p	1p	p36.11
1	26050001	26100000	p	1p	p36.11
1	26100001	26150000	p	1p	p36.11
1	26150001	26200000	p	1p	p36.11
1	26200001	26250000	p	1p	p36.11
1	26250001	26300000	p	1p	p36.11
1	26300001	26350000	p	1p	p36.11
1	26350001	26400000	p	1p	p36.11
1	26400001	26450000	p	1p	p36.11
1	26450001	26500000	p	1p	p36.11
1	26500001	26550000	p	1p	p36.11
1	26550001	26600000	p	1p	p36.11
1	26600001	26650000	p	1p	p36.11
1	26650001	26700000	p	1p	p36.11
1	26700001	26750000	p	1p	p36.11
1	26750001	26800000	p	1p	p36.11
1	26800001	26850000	p	1p	p36.11
1	26850001	26900000	p	1p	p36.11
1	26900001	26950000	p	1p	p36.11
1	26950001	27000000	p	1p	p36.11
1	27000001	27050000	p	1p	p36.11
1	27050001	27100000	p	1p	p36.11
1	27100001	27150000	p	1p	p36.11
1	27150001	27200000	p	1p	p36.11
1	27200001	27250000	p	1p	p36.11
1	27250001	27300000	p	1p	p36.11
1	27300001	27350000	p	1p	p36.11
1	27350001	27400000	p	1p	p36.11
1	27400001	27450000	p	1p	p36.11
1	27450001	27500000	p	1p	p36.11
1	27500001	27550000	p	1p	p36.11
1	27550001	27600000	p	1p	p36.11
1	27600001	27650000	p	1p	p35.3
1	27650001	27700000	p	1p	p35.3
1	27700001	27750000	p	1p	p35.3
1	27750001	27800000	p	1p	p35.3
1	27800001	27850000	p	1p	p35.3
1	27850001	27900000	p	1p	p35.3
1	27900001	27950000	p	1p	p35.3
1	27950001	28000000	p	1p	p35.3
1	28000001	28050000	p	1p	p35.3
1	28050001	28100000	p	1p	p35.3
1	28100001	28150000	p	1p	p35.3
1	28150001	28200000	p	1p	p35.3
1	28200001	28250000	p	1p	p35.3
1	28250001	28300000	p	1p	p35.3
1	28300001	28350000	p	1p	p35.3
1	28350001	28400000	p	1p	p35.3
1	28400001	28450000	p	1p	p35.3
1	28450001	28500000	p	1p	p35.3
1	28500001	28550000	p	1p	p35.3
1	28550001	28600000	p	1p	p35.3
1	28600001	28650000	p	1p	p35.3
1	28650001	28700000	p	1p	p35.3
1	28700001	28750000	p	1p	p35.3
1	28750001	28800000	p	1p	p35.3
1	28800001	28850000	p	1p	p35.3
1	28850001	28900000	p	1p	p35.3
1	28900001	28950000	p	1p	p35.3
1	28950001	29000000	p	1p	p35.3
1	29000001	29050000	p	1p	p35.3
1	29050001	29100000	p	1p	p35.3
1	29100001	29150000	p	1p	p35.3
1	29150001	29200000	p	1p	p35.3
1	29200001	29250000	p	1p	p35.3
1	29250001	29300000	p	1p	p35.3
1	29300001	29350000	p	1p	p35.3
1	29350001	29400000	p	1p	p35.3
1	29400001	29450000	p	1p	p35.3
1	29450001	29500000	p	1p	p35.3
1	29500001	29550000	p	1p	p35.3
1	29550001	29600000	p	1p	p35.3
1	29600001	29650000	p	1p	p35.3
1	29650001	29700000	p	1p	p35.3
1	29700001	29750000	p	1p	p35.3
1	29750001	29800000	p	1p	p35.3
1	29800001	29850000	p	1p	p35.3
1	29850001	29900000	p	1p	p35.3
1	29900001	29950000	p	1p	p35.2
1	29950001	30000000	p	1p	p35.2
1	30000001	30050000	p	1p	p35.2
1	30050001	30100000	p	1p	p35.2
1	30100001	30150000	p	1p	p35.2
1	30150001	30200000	p	1p	p35.2
1	30200001	30250000	p	1p	p35.2
1	30250001	30300000	p	1p	p35.2
1	30300001	30350000	p	1p	p35.2
1	30350001	30400000	p	1p	p35.2
1	30400001	30450000	p	1p	p35.2
1	30450001	30500000	p	1p	p35.2
1	30500001	30550000	p	1p	p35.2
1	30550001	30600000	p	1p	p35.2
1	30600001	30650000	p	1p	p35.2
1	30650001	30700000	p	1p	p35.2
1	30700001	30750000	p	1p	p35.2
1	30750001	30800000	p	1p	p35.2
1	30800001	30850000	p	1p	p35.2
1	30850001	30900000	p	1p	p35.2
1	30900001	30950000	p	1p	p35.2
1	30950001	31000000	p	1p	p35.2
1	31000001	31050000	p	1p	p35.2
1	31050001	31100000	p	1p	p35.2
1	31100001	31150000	p	1p	p35.2
1	31150001	31200000	p	1p	p35.2
1	31200001	31250000	p	1p	p35.2
1	31250001	31300000	p	1p	p35.2
1	31300001	31350000	p	1p	p35.2
1	31350001	31400000	p	1p	p35.2
1	31400001	31450000	p	1p	p35.2
1	31450001	31500000	p	1p	p35.2
1	31500001	31550000	p	1p	p35.2
1	31550001	31600000	p	1p	p35.2
1	31600001	31650000	p	1p	p35.2
1	31650001	31700000	p	1p	p35.2
1	31700001	31750000	p	1p	p35.2
1	31750001	31800000	p	1p	p35.2
1	31800001	31850000	p	1p	p35.2
1	31850001	31900000	p	1p	p35.2
1	31900001	31950000	p	1p	p35.2
1	31950001	32000000	p	1p	p35.2
1	32000001	32050000	p	1p	p35.2
1	32050001	32100000	p	1p	p35.2
1	32100001	32150000	p	1p	p35.2
1	32150001	32200000	p	1p	p35.2
1	32200001	32250000	p	1p	p35.2
1	32250001	32300000	p	1p	p35.2
1	32300001	32350000	p	1p	p35.1
1	32350001	32400000	p	1p	p35.1
1	32400001	32450000	p	1p	p35.1
1	32450001	32500000	p	1p	p35.1
1	32500001	32550000	p	1p	p35.1
1	32550001	32600000	p	1p	p35.1
1	32600001	32650000	p	1p	p35.1
1	32650001	32700000	p	1p	p35.1
1	32700001	32750000	p	1p	p35.1
1	32750001	32800000	p	1p	p35.1
1	32800001	32850000	p	1p	p35.1
1	32850001	32900000	p	1p	p35.1
1	32900001	32950000	p	1p	p35.1
1	32950001	33000000	p	1p	p35.1
1	33000001	33050000	p	1p	p35.1
1	33050001	33100000	p	1p	p35.1
1	33100001	33150000	p	1p	p35.1
1	33150001	33200000	p	1p	p35.1
1	33200001	33250000	p	1p	p35.1
1	33250001	33300000	p	1p	p35.1
1	33300001	33350000	p	1p	p35.1
1	33350001	33400000	p	1p	p35.1
1	33400001	33450000	p	1p	p35.1
1	33450001	33500000	p	1p	p35.1
1	33500001	33550000	p	1p	p35.1
1	33550001	33600000	p	1p	p35.1
1	33600001	33650000	p	1p	p35.1
1	33650001	33700000	p	1p	p35.1
1	33700001	33750000	p	1p	p35.1
1	33750001	33800000	p	1p	p35.1
1	33800001	33850000	p	1p	p35.1
1	33850001	33900000	p	1p	p35.1
1	33900001	33950000	p	1p	p35.1
1	33950001	34000000	p	1p	p35.1
1	34000001	34050000	p	1p	p35.1
1	34050001	34100000	p	1p	p35.1
1	34100001	34150000	p	1p	p35.1
1	34150001	34200000	p	1p	p35.1
1	34200001	34250000	p	1p	p35.1
1	34250001	34300000	p	1p	p35.1
1	34300001	34350000	p	1p	p34.3
1	34350001	34400000	p	1p	p34.3
1	34400001	34450000	p	1p	p34.3
1	34450001	34500000	p	1p	p34.3
1	34500001	34550000	p	1p	p34.3
1	34550001	34600000	p	1p	p34.3
1	34600001	34650000	p	1p	p34.3
1	34650001	34700000	p	1p	p34.3
1	34700001	34750000	p	1p	p34.3
1	34750001	34800000	p	1p	p34.3
1	34800001	34850000	p	1p	p34.3
1	34850001	34900000	p	1p	p34.3
1	34900001	34950000	p	1p	p34.3
1	34950001	35000000	p	1p	p34.3
