GeneName	GeneID	chr	start	stop	arm	chr_arm	band
AKIRIN1	ENSG00000174574	1	39456895	39471731	p	1p	p34.3
NDUFS5	ENSG00000168653	1	39491990	39500308	p	1p	p34.3
MACF1	ENSG00000127603	1	39546988	39952849	p	1p	p34.3
BMP8A	ENSG00000183682	1	39957318	39991607	p	1p	p34.3
RP11-69E11.4	ENSG00000182109	1	39987952	40011859	p	1p	p34.3
PPIE	ENSG00000084072	1	40157854	40229586	p	1p	p34.2
TRIT1	ENSG00000043514	1	40306723	40349183	p	1p	p34.2
CAP1	ENSG00000131236	1	40505905	40538321	p	1p	p34.2
PPT1	ENSG00000131238	1	40538379	40563375	p	1p	p34.2
RLF	ENSG00000117000	1	40627045	40706593	p	1p	p34.2
SMAP2	ENSG00000084070	1	40810522	40888998	p	1p	p34.2
NFYC	ENSG00000066136	1	41157320	41237275	p	1p	p34.2
SCMH1	ENSG00000010803	1	41492872	41707826	p	1p	p34.2
HIVEP3	ENSG00000127124	1	41972036	42501596	p	1p	p34.2
FOXJ3	ENSG00000198815	1	42642210	42801548	p	1p	p34.2
PPCS	ENSG00000127125	1	42921788	42939056	p	1p	p34.2
PPIH	ENSG00000171960	1	43124096	43142429	p	1p	p34.2
ELOVL1	ENSG00000066322	1	43829068	43833696	p	1p	p34.2
MED8	ENSG00000159479	1	43849588	43855479	p	1p	p34.2
RP1-92O14.6	ENSG00000229431	1	43850784	43854826	p	1p	p34.2
SZT2	ENSG00000198198	1	43855553	43918321	p	1p	p34.2
KDM4A	ENSG00000066135	1	44115829	44171186	p	1p	p34.1
KDM4A-AS1	ENSG00000236200	1	44165436	44173809	p	1p	p34.1
ST3GAL3	ENSG00000126091	1	44171495	44396831	p	1p	p34.1
ATP6V0B	ENSG00000117410	1	44440159	44443967	p	1p	p34.1
SLC6A9	ENSG00000196517	1	44457172	44497139	p	1p	p34.1
DMAP1	ENSG00000178028	1	44679127	44686353	p	1p	p34.1
ERI3	ENSG00000117419	1	44686742	44820932	p	1p	p34.1
RNF220	ENSG00000187147	1	44870866	45117396	p	1p	p34.1
TMEM53	ENSG00000126106	1	45100910	45140227	p	1p	p34.1
RPS8	ENSG00000142937	1	45240923	45244451	p	1p	p34.1
UROD	ENSG00000126088	1	45477819	45481247	p	1p	p34.1
TOE1	ENSG00000132773	1	45805342	45809647	p	1p	p34.1
TESK2	ENSG00000070759	1	45809555	45956872	p	1p	p34.1
PRDX1	ENSG00000117450	1	45976708	45988719	p	1p	p34.1
AKR1A1	ENSG00000117448	1	46016215	46035721	p	1p	p34.1
NASP	ENSG00000132780	1	46049518	46084566	p	1p	p34.1
GPBP1L1	ENSG00000159592	1	46092976	46153785	p	1p	p34.1
TMEM69	ENSG00000159596	1	46152886	46160115	p	1p	p34.1
IPP	ENSG00000197429	1	46159996	46216322	p	1p	p34.1
POMGNT1	ENSG00000085998	1	46654354	46685977	p	1p	p34.1
LURAP1	ENSG00000171357	1	46669006	46686933	p	1p	p34.1
UQCRH	ENSG00000173660	1	46769303	46782448	p	1p	p34.1
MKNK1-AS1	ENSG00000269956	1	47004368	47035927	p	1p	p33
MKNK1	ENSG00000079277	1	47023090	47082515	p	1p	p33
MOB3C	ENSG00000142961	1	47073387	47082563	p	1p	p33
EFCAB14	ENSG00000159658	1	47124366	47184824	p	1p	p33
EFCAB14-AS1	ENSG00000228237	1	47139708	47157770	p	1p	p33
CMPK1	ENSG00000162368	1	47799469	47844511	p	1p	p33
SPATA6	ENSG00000132122	1	48761044	48937845	p	1p	p33
FAF1	ENSG00000185104	1	50905150	51425935	p	1p	p32.3
RNF11	ENSG00000123091	1	51701943	51739127	p	1p	p32.3
EPS15	ENSG00000085832	1	51819935	51985000	p	1p	p32.3
OSBPL9	ENSG00000117859	1	52042851	52254889	p	1p	p32.3
NRD1	ENSG00000078618	1	52254863	52344477	p	1p	p32.3
RP4-657D16.3	ENSG00000266993	1	52259637	52264824	p	1p	p32.3
TXNDC12	ENSG00000117862	1	52485803	52521843	p	1p	p32.3
KTI12	ENSG00000198841	1	52497775	52499488	p	1p	p32.3
ZFYVE9	ENSG00000157077	1	52608046	52812358	p	1p	p32.3
CC2D1B	ENSG00000154222	1	52811395	52831865	p	1p	p32.3
PRPF38A	ENSG00000134748	1	52870236	52886511	p	1p	p32.3
ZCCHC11	ENSG00000134744	1	52873954	53019159	p	1p	p32.3
ZYG11B	ENSG00000162378	1	53192126	53293014	p	1p	p32.3
ECHDC2	ENSG00000121310	1	53361656	53392884	p	1p	p32.3
SCP2	ENSG00000116171	1	53392901	53517375	p	1p	p32.3
HSPB11	ENSG00000081870	1	54382247	54411602	p	1p	p32.3
LRRC42	ENSG00000116212	1	54411750	54433841	p	1p	p32.3
TMEM59	ENSG00000116209	1	54497347	54519177	p	1p	p32.3
MRPL37	ENSG00000116221	1	54649714	54691137	p	1p	p32.3
SSBP3	ENSG00000157216	1	54691105	54879152	p	1p	p32.3
DHCR24	ENSG00000116133	1	55315306	55352891	p	1p	p32.3
USP24	ENSG00000162402	1	55532032	55680786	p	1p	p32.3
PPAP2B	ENSG00000162407	1	56960419	57110974	p	1p	p32.2
DAB1	ENSG00000173406	1	57460451	59012406	p	1p	
OMA1	ENSG00000162600	1	58881056	59012474	p	1p	
MYSM1	ENSG00000162601	1	59120411	59165764	p	1p	p32.1
CYP2J2	ENSG00000134716	1	60358980	60392462	p	1p	p32.1
NFIA	ENSG00000162599	1	61330931	61928465	p	1p	p31.3
TM2D1	ENSG00000162604	1	62146718	62191095	p	1p	p31.3
USP1	ENSG00000162607	1	62901968	62917475	p	1p	p31.3
JAK1	ENSG00000162434	1	65298912	65432187	p	1p	p31.3
DNAJC6	ENSG00000116675	1	65713902	65881552	p	1p	p31.3
LEPR	ENSG00000116678	1	65886248	66107242	p	1p	p31.3
LEPROT	ENSG00000213625	1	65886270	65901690	p	1p	p31.3
PDE4B	ENSG00000184588	1	66258197	66840259	p	1p	p31.3
SGIP1	ENSG00000118473	1	66999066	67213982	p	1p	p31.3
MIER1	ENSG00000198160	1	67390578	67454302	p	1p	p31.3
SERBP1	ENSG00000142864	1	67873493	67896098	p	1p	p31.3
LRRC7	ENSG00000033122	1	70034081	70617628	p	1p	p31.1
SRSF11	ENSG00000116754	1	70671365	70718735	p	1p	p31.1
ZRANB2	ENSG00000132485	1	71528974	71546980	p	1p	p31.1
NEGR1	ENSG00000172260	1	71861623	72748417	p	1p	p31.1
RABGGTB	ENSG00000137955	1	76251879	76260764	p	1p	p31.1
ST6GALNAC3	ENSG00000184005	1	76540404	77100286	p	1p	p31.1
PIGK	ENSG00000142892	1	77554675	77685115	p	1p	p31.1
AK5	ENSG00000154027	1	77747736	78025651	p	1p	p31.1
ZZZ3	ENSG00000036549	1	78028101	78149104	p	1p	p31.1
USP33	ENSG00000077254	1	78161672	78225537	p	1p	p31.1
FAM73A	ENSG00000180488	1	78245309	78344106	p	1p	p31.1
FUBP1	ENSG00000162613	1	78409740	78444794	p	1p	p31.1
DNAJB4	ENSG00000162616	1	78444859	78483648	p	1p	p31.1
GIPC2	ENSG00000137960	1	78445226	78604133	p	1p	p31.1
TTLL7	ENSG00000137941	1	84330711	84464833	p	1p	p31.1
PRKACB	ENSG00000142875	1	84543745	84704181	p	1p	p31.1
GNG5	ENSG00000174021	1	84964008	84972248	p	1p	p22.3
SH3GLB1	ENSG00000097033	1	87170259	87213867	p	1p	p22.3
SEP15	ENSG00000183291	1	87328132	87380107	p	1p	p22.3
PKN2	ENSG00000065243	1	89149905	89301938	p	1p	p22.2
GTF2B	ENSG00000137947	1	89318615	89357627	p	1p	p22.2
CCBL2	ENSG00000137944	1	89401456	89458636	p	1p	p22.2
RBMXL1	ENSG00000213516	1	89445139	89458643	p	1p	p22.2
LRRC8B	ENSG00000197147	1	89990395	90063423	p	1p	p22.2
LRRC8C	ENSG00000171488	1	90098631	90235462	p	1p	p22.2
RP11-302M6.4	ENSG00000271949	1	90098699	90398809	p	1p	p22.2
LRRC8D	ENSG00000171492	1	90286573	90402170	p	1p	p22.2
ZNF644	ENSG00000122482	1	91380859	91487829	p	1p	p22.2
EVI5	ENSG00000067208	1	92974253	93257961	p	1p	p22.1
RPL5	ENSG00000122406	1	93297582	93307481	p	1p	p22.1
FAM69A	ENSG00000154511	1	93307724	93427057	p	1p	p22.1
MTF2	ENSG00000143033	1	93544792	93604638	p	1p	p22.1
TMED5	ENSG00000117500	1	93615299	93646285	p	1p	p22.1
CCDC18	ENSG00000122483	1	93645476	93744287	p	1p	p22.1
DR1	ENSG00000117505	1	93811445	93835055	p	1p	p22.1
FNBP1L	ENSG00000137942	1	93913688	94020218	p	1p	p22.1
BCAR3	ENSG00000137936	1	94027347	94312706	p	1p	p22.1
CNN3	ENSG00000117519	1	95362507	95392834	p	1p	p21.3
TMEM56-RWDD3	ENSG00000271092	1	95583479	95712781	p	1p	p21.3
RP11-57H12.3	ENSG00000226026	1	95628775	95699538	p	1p	p21.3
PTBP2	ENSG00000117569	1	97187221	97289294	p	1p	p21.3
DPYD	ENSG00000188641	1	97543299	98386605	p	1p	p21.3
DPYD-AS1	ENSG00000232878	1	97561479	97788511	p	1p	p21.3
AGL	ENSG00000162688	1	100315640	100389579	p	1p	p21.2
SLC35A3	ENSG00000117620	1	100435345	100492535	p	1p	p21.2
HIAT1	ENSG00000156875	1	100503653	100548933	p	1p	p21.2
RP4-714D9.2	ENSG00000241073	1	100523546	100550027	p	1p	p21.2
SASS6	ENSG00000156876	1	100549119	100598511	p	1p	p21.2
TRMT13	ENSG00000122435	1	100598706	100616053	p	1p	p21.2
DBT	ENSG00000137992	1	100652475	100715390	p	1p	p21.2
RTCA	ENSG00000137996	1	100731763	100758325	p	1p	p21.2
SLC25A24	ENSG00000085491	1	108676658	108743471	p	1p	p13.3
PRPF38B	ENSG00000134186	1	109234945	109244425	p	1p	p13.3
STXBP3	ENSG00000116266	1	109289296	109352148	p	1p	p13.3
AKNAD1	ENSG00000162641	1	109358520	109506106	p	1p	p13.3
GPSM2	ENSG00000121957	1	109417972	109477167	p	1p	p13.3
CLCC1	ENSG00000121940	1	109472130	109506111	p	1p	p13.3
WDR47	ENSG00000085433	1	109512836	109584850	p	1p	p13.3
TAF13	ENSG00000197780	1	109605108	109618624	p	1p	p13.3
SARS	ENSG00000031698	1	109756540	109780791	p	1p	p13.3
CELSR2	ENSG00000143126	1	109792641	109818372	p	1p	p13.3
SORT1	ENSG00000134243	1	109852192	109940573	p	1p	p13.3
PSMA5	ENSG00000143106	1	109941653	109969062	p	1p	p13.3
GNAI3	ENSG00000065135	1	110091233	110136975	p	1p	p13.3
GSTM2	ENSG00000213366	1	110210644	110252171	p	1p	p13.3
CSF1	ENSG00000184371	1	110452864	110473614	p	1p	p13.3
STRIP1	ENSG00000143093	1	110574199	110617263	p	1p	p13.3
LAMTOR5-AS1	ENSG00000224699	1	110925441	110974982	p	1p	p13.3
LAMTOR5	ENSG00000134248	1	110943871	110950564	p	1p	p13.3
DRAM2	ENSG00000156171	1	111659955	111682838	p	1p	p13.3
WDR77	ENSG00000116455	1	111982512	111991998	p	1p	p13.2
ATP5F1	ENSG00000116459	1	111991486	112005395	p	1p	p13.2
ADORA3	ENSG00000121933	1	112025970	112106584	p	1p	p13.2
RAP1A	ENSG00000116473	1	112084840	112259313	p	1p	p13.2
FAM212B	ENSG00000197852	1	112223252	112298446	p	1p	p13.2
ST7L	ENSG00000007341	1	113066140	113163447	p	1p	p13.2
CAPZA1	ENSG00000116489	1	113161795	113214241	p	1p	p13.2
SLC16A1	ENSG00000155380	1	113454469	113499635	p	1p	p13.2
HIPK1	ENSG00000163349	1	114471814	114520426	p	1p	p13.2
DENND2C	ENSG00000175984	1	115125469	115213043	p	1p	p13.2
NRAS	ENSG00000213281	1	115247090	115259515	p	1p	p13.2
CSDE1	ENSG00000009307	1	115259534	115301297	p	1p	p13.2
SLC22A15	ENSG00000163393	1	116519119	116612675	p	1p	p13.1
ATP1A1	ENSG00000163399	1	116915290	116952883	p	1p	p13.1
MAN1A2	ENSG00000198162	1	117910071	118071494	p	1p	p12
GDAP2	ENSG00000196505	1	118406107	118472253	p	1p	p12
PHGDH	ENSG00000092621	1	120202421	120286838	p	1p	p12
NOTCH2	ENSG00000134250	1	120454176	120612240	p	1p	
RP11-343N15.1	ENSG00000230806	1	121102017	121140666	p	1p	p11.2
PDE4DIP	ENSG00000178104	1	144836157	145076186	q	1q	q21.1
NOTCH2NL	ENSG00000213240	1	145209119	145291972	q	1q	q21.1
RP11-458D21.5	ENSG00000255168	1	145209145	145319796	q	1q	q21.1
TXNIP	ENSG00000117289	1	145438469	145442635	q	1q	q21.1
RBM8A	ENSG00000131795	1	145507598	145513536	q	1q	q21.1
PEX11B	ENSG00000131779	1	145516252	145523730	q	1q	q21.1
PIAS3	ENSG00000131788	1	145575233	145586546	q	1q	q21.1
POLR3C	ENSG00000186141	1	145592605	145611025	q	1q	q21.1
RNF115	ENSG00000121848	1	145611036	145696218	q	1q	q21.1
RP11-337C18.8	ENSG00000237188	1	146644350	146683136	q	1q	q21.1
FMO5	ENSG00000131781	1	146646930	146714700	q	1q	q21.1
CHD1L	ENSG00000131778	1	146714291	146767443	q	1q	q21.1
BCL9	ENSG00000116128	1	147013182	147098017	q	1q	q21.2
RP11-353N4.5	ENSG00000234232	1	149649060	149719362	q	1q	q21.2
HIST2H2BF	ENSG00000203814	1	149754245	149783928	q	1q	q21.2
RP11-196G18.21	ENSG00000242663	1	149754433	149783312	q	1q	q21.2
SF3B4	ENSG00000143368	1	149895209	149900236	q	1q	q21.2
OTUD7B	ENSG00000163113	1	149909705	149982625	q	1q	q21.2
ANP32E	ENSG00000143401	1	150190717	150208504	q	1q	q21.2
PRPF3	ENSG00000117360	1	150293925	150325671	q	1q	
RPRD2	ENSG00000163125	1	150335567	150449042	q	1q	q21.3
TARS2	ENSG00000143374	1	150459887	150480078	q	1q	q21.3
ENSA	ENSG00000143420	1	150573327	150602088	q	1q	q21.3
CTSS	ENSG00000163131	1	150702672	150738433	q	1q	q21.3
SETDB1	ENSG00000143379	1	150898739	150937213	q	1q	q21.3
CERS2	ENSG00000143418	1	150933059	150947479	q	1q	q21.3
RP11-316M1.12	ENSG00000259357	1	150937736	150938734	q	1q	q21.3
FAM63A	ENSG00000143409	1	150969025	150980851	q	1q	q21.3
C1orf56	ENSG00000143443	1	151020216	151024462	q	1q	q21.3
CDC42SE1	ENSG00000197622	1	151023447	151042801	q	1q	q21.3
SCNM1	ENSG00000163156	1	151129140	151142773	q	1q	q21.3
PIP5K1A	ENSG00000143398	1	151170425	151222012	q	1q	q21.3
PSMD4	ENSG00000159352	1	151227179	151239955	q	1q	q21.3
PI4KB	ENSG00000143393	1	151264273	151300191	q	1q	q21.3
PSMB4	ENSG00000159377	1	151372010	151374420	q	1q	q21.3
POGZ	ENSG00000143442	1	151375200	151431941	q	1q	q21.3
SNX27	ENSG00000143376	1	151584541	151671567	q	1q	q21.3
MRPL9	ENSG00000143436	1	151732119	151736040	q	1q	q21.3
NBPF18P	ENSG00000229021	1	151967007	152015250	q	1q	q21.3
S100A11	ENSG00000163191	1	152004982	152020383	q	1q	q21.3
S100A6	ENSG00000197956	1	153507075	153508720	q	1q	q21.3
S100A16	ENSG00000188643	1	153579362	153585621	q	1q	q21.3
S100A13	ENSG00000189171	1	153591263	153606568	q	1q	q21.3
CHTOP	ENSG00000160679	1	153606525	153618782	q	1q	q21.3
SNAPIN	ENSG00000143553	1	153631130	153634306	q	1q	q21.3
INTS3	ENSG00000143624	1	153700543	153746555	q	1q	q21.3
GATAD2B	ENSG00000143614	1	153777201	153895451	q	1q	q21.3
DENND4B	ENSG00000198837	1	153901977	153919172	q	1q	q21.3
JTB	ENSG00000143543	1	153946745	153950164	q	1q	q21.3
RPS27	ENSG00000177954	1	153963235	153964626	q	1q	q21.3
TPM3	ENSG00000143549	1	154127784	154167124	q	1q	q21.3
C1orf43	ENSG00000143612	1	154179182	154193104	q	1q	q21.3
UBAP2L	ENSG00000143569	1	154192655	154243986	q	1q	q21.3
HAX1	ENSG00000143575	1	154244987	154248351	q	1q	q21.3
IL6R	ENSG00000160712	1	154377669	154441926	q	1q	q21.3
ADAR	ENSG00000160710	1	154554538	154600475	q	1q	q21.3
PMVK	ENSG00000163344	1	154897210	154909467	q	1q	q21.3
ADAM15	ENSG00000143537	1	155023042	155035252	q	1q	q22
KRTCAP2	ENSG00000163463	1	155141884	155145951	q	1q	q22
RP11-201K10.3	ENSG00000273088	1	155141885	155159748	q	1q	q22
SCAMP3	ENSG00000116521	1	155225770	155232221	q	1q	q22
ASH1L	ENSG00000116539	1	155305059	155532598	q	1q	q22
KIAA0907	ENSG00000132680	1	155882834	155904191	q	1q	q22
ARHGEF2	ENSG00000116584	1	155916630	155976861	q	1q	q22
SSR2	ENSG00000163479	1	155978839	155990750	q	1q	q22
LMNA	ENSG00000160789	1	156052364	156109880	q	1q	q22
SLC25A44	ENSG00000160785	1	156163880	156182587	q	1q	q22
CCT3	ENSG00000163468	1	156278759	156337664	q	1q	q22
APOA1BP	ENSG00000163382	1	156561554	156564091	q	1q	q23.1
GPATCH4	ENSG00000160818	1	156564279	156571288	q	1q	q23.1
HDGF	ENSG00000143321	1	156711899	156736717	q	1q	q23.1
PRCC	ENSG00000143294	1	156720402	156770607	q	1q	q23.1
KCNJ10	ENSG00000177807	1	160007257	160040038	q	1q	q23.2
PEA15	ENSG00000162734	1	160175127	160185166	q	1q	q23.2
DCAF8	ENSG00000132716	1	160185505	160254920	q	1q	q23.2
DCAF8	ENSG00000258465	1	160187254	160254920	q	1q	q23.2
PEX19	ENSG00000162735	1	160246602	160256138	q	1q	q23.2
COPA	ENSG00000122218	1	160259063	160313190	q	1q	q23.2
NCSTN	ENSG00000162736	1	160313062	160328742	q	1q	q23.2
USF1	ENSG00000158773	1	161009041	161015767	q	1q	q23.3
NIT1	ENSG00000158793	1	161087876	161095235	q	1q	q23.3
DEDD	ENSG00000158796	1	161090764	161102478	q	1q	q23.3
ADAMTS4	ENSG00000158859	1	161154098	161168846	q	1q	q23.3
NDUFS2	ENSG00000158864	1	161166894	161184185	q	1q	q23.3
SDHC	ENSG00000143252	1	161284047	161332984	q	1q	q23.3
FCGR3A	ENSG00000203747	1	161511549	161600917	q	1q	q23.3
